[PERF_PROFILE] cyc=45000000 itlb_lookups=18729753 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38795 ptw_busy_cycles=29770984 ptw_faults=933 fe_stall_total=24018461 fe_stall_xlate=17716336 fe_stall_icache=734897 fe_stall_backend=5567228 flush_commit=519778 flush_bru=0 flush_satp=7 dtlb_lookups=12716448 dtlb_misses=477281 dcache_accesses=6129798 dcache_misses=441806
[PERF_PROFILE] cyc=46000000 itlb_lookups=19227686 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38830 ptw_busy_cycles=30770103 ptw_faults=937 fe_stall_total=24516400 fe_stall_xlate=18214269 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=522968 flush_bru=0 flush_satp=7 dtlb_lookups=13273405 dtlb_misses=477382 dcache_accesses=6456569 dcache_misses=442033
[PERF_PROFILE] cyc=47000000 itlb_lookups=19726329 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38846 ptw_busy_cycles=31770102 ptw_faults=938 fe_stall_total=25015043 fe_stall_xlate=18712912 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=525362 flush_bru=0 flush_satp=7 dtlb_lookups=13836291 dtlb_misses=477434 dcache_accesses=6786848 dcache_misses=442084
[PERF_PROFILE] cyc=48000000 itlb_lookups=20224621 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38879 ptw_busy_cycles=32770099 ptw_faults=941 fe_stall_total=25513335 fe_stall_xlate=19211204 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=527985 flush_bru=0 flush_satp=7 dtlb_lookups=14394682 dtlb_misses=477539 dcache_accesses=7114455 dcache_misses=442214
[PERF_PROFILE] cyc=49000000 itlb_lookups=20723271 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38893 ptw_busy_cycles=33770097 ptw_faults=943 fe_stall_total=26011985 fe_stall_xlate=19709854 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=530334 flush_bru=0 flush_satp=7 dtlb_lookups=14957757 dtlb_misses=477595 dcache_accesses=7444895 dcache_misses=442264
[PERF_PROFILE] cyc=50000000 itlb_lookups=21221632 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38915 ptw_busy_cycles=34770094 ptw_faults=946 fe_stall_total=26510346 fe_stall_xlate=20208215 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=532785 flush_bru=0 flush_satp=7 dtlb_lookups=15518147 dtlb_misses=477681 dcache_accesses=7773787 dcache_misses=442339
[PERF_PROFILE] cyc=51000000 itlb_lookups=21720297 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38929 ptw_busy_cycles=35770092 ptw_faults=948 fe_stall_total=27009011 fe_stall_xlate=20706880 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=535150 flush_bru=0 flush_satp=7 dtlb_lookups=16080787 dtlb_misses=477737 dcache_accesses=8103820 dcache_misses=442389
[PERF_PROFILE] cyc=52000000 itlb_lookups=22218611 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38957 ptw_busy_cycles=36770089 ptw_faults=951 fe_stall_total=27507325 fe_stall_xlate=21205194 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=537688 flush_bru=0 flush_satp=7 dtlb_lookups=16639862 dtlb_misses=477833 dcache_accesses=8431835 dcache_misses=442480
[PERF_PROFILE] cyc=53000000 itlb_lookups=22717333 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38972 ptw_busy_cycles=37770087 ptw_faults=953 fe_stall_total=28006047 fe_stall_xlate=21703916 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=539944 flush_bru=0 flush_satp=7 dtlb_lookups=17203597 dtlb_misses=477891 dcache_accesses=8762728 dcache_misses=442528
[PERF_PROFILE] cyc=54000000 itlb_lookups=23215771 itlb_misses=177829 ptw_walks_itlb=6078 ptw_walks_dtlb=38993 ptw_busy_cycles=38770084 ptw_faults=956 fe_stall_total=28504485 fe_stall_xlate=22202354 fe_stall_icache=734897 fe_stall_backend=5567234 flush_commit=542308 flush_bru=0 flush_satp=7 dtlb_lookups=17764336 dtlb_misses=477975 dcache_accesses=9091764 dcache_misses=442600
